Nom compagnie de validation;Tarif Pay�;MOIS;ANNEE;O&D paires d'a�roports
AIR FRANCE;0,1;8;2017;CDG - TLS
AIR FRANCE;0,36;12;2016;AMM - CDG
AIR FRANCE;1,36;12;2016;NCE - ORY
AIR FRANCE;20;9;2017;CDG - LIM
AIR FRANCE;20;9;2017;CDG - LIM
LUFTHANSA GERMAN AIRLINES;20,68;6;2017;BRU - STR
EMIRATES;20,82;1;2017;DXB - MRU
AIR FRANCE;23,2;12;2016;MLH - ORY
EMIRATES;24,17;8;2017;BSR - DXB
EMIRATES;24,46;3;2017;BSR - DXB
LUFTHANSA GERMAN AIRLINES;25;4;2016;CDG - MAA
LUFTHANSA GERMAN AIRLINES;25;4;2016;CDG - MAA
LUFTHANSA GERMAN AIRLINES;25;7;2016;CDG - CLJ
AIR FRANCE;27;9;2017;AMS - LIM
AIR FRANCE;30;9;2017;AMS - LIM
AIR FRANCE;32;5;2017;ORY - PTP
EMIRATES;33,34;1;2017;BSR - CDG
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;33,64;2;2018;LYS - NTE
AIR FRANCE;34,57;3;2016;ORY - PTP
AIR FRANCE;35;4;2016;AMS - CDG
AIR FRANCE;35;5;2016;MPL - ORY
AIR FRANCE;35;6;2016;BOD - ORY
AIR FRANCE;35;6;2016;MRS - ORY
AIR FRANCE;35;6;2016;AUH - TLS
AIR FRANCE;35;7;2016;ORY - RNS
AIR FRANCE;35;10;2016;ORY - TLS
AIR FRANCE;35;3;2017;NCE - ORY
AIR FRANCE;35;3;2017;CDG - TSE
AIR FRANCE;35;4;2017;LIL - NTE
AIR FRANCE;35;5;2017;MRS - ORY
AIR FRANCE;35;6;2017;CDG - TLV
AIR FRANCE;35;7;2017;NCE - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;7;2017;BOD - ORY
AIR FRANCE;35;9;2017;BOD - LYS
AIR FRANCE;35;9;2017;BOD - ORY
AIR FRANCE;35;12;2017;CDG - MEX
AIR FRANCE;35;1;2018;CDG - LIN
AIR FRANCE;35;1;2018;ORY - TLS
AIR FRANCE;42,5;12;2016;LIL - TLS
AIR FRANCE;43,01;10;2016;MRS - SXB
AIR FRANCE;43,38;7;2017;CDG - NCE
AIR FRANCE;43,83;7;2016;BOD - MRS
AIR FRANCE;45,33;2;2017;BOD - MRS
AIR FRANCE;48;10;2017;CDG - GOA
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;4;2016;BOD - LYS
AIR FRANCE;48,54;5;2016;BOD - CDG
AIR FRANCE;48,54;1;2017;BOD - LYS
AIR FRANCE;48,57;3;2017;LYS - NTE
AIR FRANCE;48,57;3;2017;LYS - NTE
AIR FRANCE;48,59;2;2017;BOD - ORY
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;9;2016;ORY - UIP
AIR FRANCE;48,64;10;2016;ORY - UIP
AIR FRANCE;48,64;10;2016;ORY - UIP
AIR FRANCE;48,64;10;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,64;12;2016;ORY - UIP
AIR FRANCE;48,75;10;2016;ORY - UIP
AIR FRANCE;48,96;9;2017;AMS - CDG
AIR FRANCE;49,09;10;2017;MRS - TLS
AIR FRANCE;49,09;1;2018;MRS - NTE
AIR FRANCE;49,29;3;2016;MRS - TLS
AIR FRANCE;49,29;7;2016;MRS - ORY
AIR FRANCE;49,31;8;2017;BOD - LYS
AIR FRANCE;49,38;7;2017;LIL - TLS
AIR FRANCE;49,38;7;2017;LIL - TLS
AIR FRANCE;49,47;1;2017;BOD - LYS
AIR FRANCE;49,48;12;2017;LIL - TLS
AIR FRANCE;49,52;2;2017;LYS - RNS
AIR FRANCE;50;12;2016;MRS - ORY
AIR FRANCE;54,68;2;2017;AMS - CDG
LUFTHANSA GERMAN AIRLINES;55;7;2016;MUC - TLS
AIR FRANCE;57,67;3;2017;BOD - ORY
AIR FRANCE;57,75;12;2016;ORY - TLS
AIR FRANCE;59,06;3;2017;ORY - TLS
AIR FRANCE;59,1;3;2016;BUD - CDG
AIR FRANCE;59,1;3;2016;BUD - CDG
AIR FRANCE;59,11;12;2016;BOD - CDG
AIR FRANCE;59,42;9;2017;BIQ - ORY
AIR FRANCE;59,88;4;2016;CDG - PRG
AIR FRANCE;60,05;9;2017;ABJ - CDG
AIR FRANCE;60,29;4;2016;CDG - MRS
AIR FRANCE;60,29;4;2016;CDG - MRS
AIR FRANCE;60,69;10;2016;BSL - CDG
AIR FRANCE;61,89;7;2017;CDG - LHR
AIR FRANCE;61,89;7;2017;CDG - LHR
AIR FRANCE;61,89;7;2017;CDG - LHR
AIR FRANCE;65,1;8;2016;CDG - CPH
AIR FRANCE;66,31;8;2017;BOD - LYS
AIR FRANCE;67,33;4;2016;BCN - CDG
AIR FRANCE;67,67;4;2017;MPL - ORY
AIR FRANCE;67,67;8;2017;MRS - ORY
AIR FRANCE;67,67;2;2018;ORY - TLS
AIR FRANCE;67,98;6;2016;NTE - TLS
AIR FRANCE;67,98;7;2016;NTE - TLS
AIR FRANCE;68,06;10;2017;MPL - NTE
AIR FRANCE;68,38;4;2017;LYS - TLS
AIR FRANCE;68,93;7;2016;LIL - TLS
AIR FRANCE;69,02;7;2016;LYS - TLS
AIR FRANCE;69,27;10;2017;MPL - ORY
AIR FRANCE;69,31;7;2017;BOD - LYS
AIR FRANCE;69,38;4;2017;ORY - TLS
AIR FRANCE;69,38;4;2017;ORY - TLS
AIR FRANCE;69,75;9;2017;BES - LYS
AIR FRANCE;69,96;7;2017;CDG - MRS
AIR FRANCE;70;8;2016;BOD - ORY
AIR FRANCE;70;10;2016;CDG - LIN
AIR FRANCE;70,05;10;2016;ABJ - CDG
AIR FRANCE;70,09;10;2017;MRS - ORY
AIR FRANCE;70,27;5;2017;NTE - TLS
AIR FRANCE;70,93;4;2016;BOD - LIL
AIR FRANCE;70,93;4;2016;BOD - LIL
AIR FRANCE;71,78;7;2017;CDG - NCE
AIR FRANCE;71,88;12;2016;CDG - PRG
AIR FRANCE;71,88;1;2017;CDG - PRG
AIR FRANCE;71,92;1;2017;CDG - PRG
AIR FRANCE;72;8;2016;MPL - ORY
AIR FRANCE;73,63;1;2018;CDG - TXL
AIR FRANCE;73,92;11;2017;CDG - CPH
AIR FRANCE;74,96;8;2017;CDG - MUC
LUFTHANSA GERMAN AIRLINES;75;12;2017;BGO - OSL
AIR FRANCE;75,05;4;2017;ABJ - CDG
AIR FRANCE;75,89;9;2016;CDG - VCE
AIR FRANCE;77,54;1;2017;BOD - NCE
AIR FRANCE;77,86;3;2017;BES - LYS
AIR FRANCE;78,1;10;2016;CDG - VCE
AIR FRANCE;78,27;3;2017;LYS - NTE
AIR FRANCE;78,27;3;2017;LYS - NTE
AIR FRANCE;78,67;8;2017;LDE - ORY
AIR FRANCE;78,75;7;2016;ORY - PGF
AIR FRANCE;78,75;7;2016;ORY - PGF
AIR FRANCE;78,75;7;2016;ORY - PGF
AIR FRANCE;78,75;7;2016;ORY - PGF
AIR FRANCE;78,88;11;2016;CDG - PRG
AIR FRANCE;78,96;3;2017;CDG - MRS
AIR FRANCE;78,98;8;2016;LIL - NTE
AIR FRANCE;79,02;5;2016;ORY - TLS
AIR FRANCE;79,1;7;2016;CDG - PRG
AIR FRANCE;79,38;4;2017;ORY - TLS
AIR FRANCE;79,38;4;2017;ORY - TLS
AIR FRANCE;79,38;4;2017;ORY - TLS
AIR FRANCE;79,38;4;2017;ORY - TLS
AIR FRANCE;79,38;4;2017;ORY - TLS
AIR FRANCE;79,38;4;2017;ORY - TLS
AIR FRANCE;79,38;5;2017;CDG - TLS
AIR FRANCE;79,38;5;2017;ORY - TLS
AIR FRANCE;79,38;6;2017;ORY - TLS
AIR FRANCE;79,73;10;2016;LIG - LYS
AIR FRANCE;80,27;7;2017;NTE - TLS
AIR FRANCE;80,29;3;2016;CDG - MRS
AIR FRANCE;80,29;4;2016;CDG - MRS
AIR FRANCE;80,31;3;2016;ORY - TLS
AIR FRANCE;80,51;3;2017;MRS - ORY
AIR FRANCE;80,75;9;2016;LRT - ORY
AIR FRANCE;81,76;3;2017;NCE - SXB
AIR FRANCE;82;10;2016;NTE - TLS
AIR FRANCE;83,64;9;2016;ORY - UIP
AIR FRANCE;83,64;9;2016;ORY - UIP
AIR FRANCE;84;12;2016;BCN - CDG
AIR FRANCE;84,47;9;2016;BOD - LYS
AIR FRANCE;84,93;4;2016;LIL - TLS
AIR FRANCE;84,93;4;2016;LIL - TLS
AIR FRANCE;84,96;10;2017;CDG - MRS
AIR FRANCE;85,09;10;2017;MRS - TLS
AIR FRANCE;85,38;11;2017;LIL - TLS
AIR FRANCE;85,38;11;2017;LIL - TLS
AIR FRANCE;85,48;6;2017;LIL - NTE
AIR FRANCE;86;12;2016;ORY - PTP
AIR FRANCE;86,38;4;2017;NTE - TLS
AIR FRANCE;87,54;4;2016;BOD - NCE
AIR FRANCE;87,54;10;2016;BOD - LYS
AIR FRANCE;87,98;4;2016;NTE - TLS
AIR FRANCE;88,27;5;2017;LYS - NTE
AIR FRANCE;88,47;7;2016;LYS - NTE
AIR FRANCE;88,48;10;2017;LIL - MRS
AIR FRANCE;89;1;2017;CDG - FIH
AIR FRANCE;89,11;8;2016;CDG - TLS
AIR FRANCE;89,47;5;2016;LYS - TLS
AIR FRANCE;89,64;5;2017;LYS - NCE
LUFTHANSA GERMAN AIRLINES;90;11;2016;CDG - CLJ
LUFTHANSA GERMAN AIRLINES;90;12;2016;CDG - OTP
LUFTHANSA GERMAN AIRLINES;90;3;2017;CDG - LEJ
LUFTHANSA GERMAN AIRLINES;90,12;8;2016;MRS - MUC
AIR FRANCE;90,71;8;2016;NCE - ORY
AIR FRANCE;91,64;7;2017;LYS - TLS
AIR FRANCE;91,88;8;2017;NCE - RNS
AIR FRANCE;92,38;10;2017;ORY - TLS
AIR FRANCE;93,47;8;2016;BOD - LYS
AIR FRANCE;94,01;7;2016;MRS - SXB
AIR FRANCE;94,47;2;2017;ETZ - LYS
AIR FRANCE;94,71;4;2016;NCE - RNS
AIR FRANCE;94,96;7;2017;CDG - MUC
AIR FRANCE;95;5;2016;MRS - ORY
LUFTHANSA GERMAN AIRLINES;95;4;2017;FRA - LYS
LUFTHANSA GERMAN AIRLINES;95;6;2017;CDG - MUC
AIR FRANCE;97,03;11;2017;BOD - NTE
AIR FRANCE;97,43;10;2017;NTE - TLS
AIR FRANCE;97,72;9;2017;NCE - NTE
AIR FRANCE;97,78;4;2017;BOD - LIL
AIR FRANCE;97,89;10;2016;CDG - VCE
AIR FRANCE;98,51;7;2017;LYS - NCE
AIR FRANCE;98,51;7;2017;LYS - NCE
AIR FRANCE;98,64;11;2017;LYS - URO
AIR FRANCE;98,68;3;2017;ORY - UIP
AIR FRANCE;98,69;1;2018;LYS - NTE
AIR FRANCE;98,73;2;2017;ORY - TLS
AIR FRANCE;98,76;10;2017;MRS - ORY
AIR FRANCE;98,76;10;2017;MRS - ORY
AIR FRANCE;98,83;4;2016;BOD - MRS
AIR FRANCE;98,85;12;2017;LYS - URO
AIR FRANCE;98,88;4;2016;CDG - PRG
AIR FRANCE;98,94;2;2018;BOD - LYS
AIR FRANCE;98,96;10;2017;BUD - CDG
AIR FRANCE;98,98;8;2016;NCE - NTE
AIR FRANCE;98,99;7;2016;NTE - TLS
AIR FRANCE;99,01;3;2016;BOD - LYS
AIR FRANCE;99,01;6;2016;BOD - LYS
AIR FRANCE;99,01;1;2017;BOD - LYS
AIR FRANCE;99,01;8;2017;LYS - TLS
AIR FRANCE;99,01;9;2017;LYS - TLS
AIR FRANCE;99,01;9;2017;LYS - TLS
AIR FRANCE;99,01;1;2018;LYS - TLS
AIR FRANCE;99,01;1;2018;LYS - TLS
AIR FRANCE;99,01;1;2018;LYS - TLS
AIR FRANCE;99,04;3;2016;MRS - ORY
AIR FRANCE;99,04;4;2016;MRS - ORY
AIR FRANCE;99,04;5;2016;MRS - ORY
AIR FRANCE;99,04;5;2016;MRS - ORY
AIR FRANCE;99,04;6;2016;MRS - ORY
AIR FRANCE;99,04;7;2016;MRS - ORY
AIR FRANCE;99,04;7;2016;MRS - ORY
AIR FRANCE;99,04;8;2016;MRS - ORY
AIR FRANCE;99,04;9;2016;MRS - ORY
AIR FRANCE;99,04;10;2016;MRS - ORY
AIR FRANCE;99,04;10;2016;MRS - ORY
AIR FRANCE;99,04;10;2016;MRS - ORY
AIR FRANCE;99,05;10;2017;ORY - TLS
AIR FRANCE;99,05;11;2017;ORY - TLS
AIR FRANCE;99,06;8;2017;CFE - ORY
AIR FRANCE;99,09;11;2017;ORY - PUF
AIR FRANCE;99,09;11;2017;ORY - PUF
AIR FRANCE;99,09;11;2017;ORY - PUF
AIR FRANCE;99,1;10;2017;ORY - TLN
AIR FRANCE;99,16;4;2016;MPL - ORY
AIR FRANCE;99,16;1;2017;MPL - ORY
AIR FRANCE;99,16;2;2017;MPL - ORY
AIR FRANCE;99,22;3;2016;CDG - GOA
AIR FRANCE;99,27;7;2016;MRS - NTE
AIR FRANCE;99,33;4;2016;CDG - LIN
AIR FRANCE;99,33;4;2016;CDG - LIN
AIR FRANCE;99,4;10;2017;BOD - MRS
AIR FRANCE;99,41;10;2017;AGF - ORY
AIR FRANCE;99,46;8;2016;NCE - ORY
AIR FRANCE;99,83;3;2017;LYS - NTE
AIR FRANCE;99,83;3;2017;LYS - NTE
AIR FRANCE;100,18;6;2016;CDG - CPH
AIR FRANCE;100,32;3;2017;NTE - TLS
AIR FRANCE;100,32;3;2017;NTE - TLS
AIR FRANCE;100,32;3;2017;NTE - TLS
AIR FRANCE;100,38;7;2017;LIL - TLS
AIR FRANCE;100,42;3;2017;NTE - TLS
AIR FRANCE;100,47;10;2016;LYS - TLS
AIR FRANCE;100,83;9;2016;CDG - LIN
AIR FRANCE;101,38;12;2017;RNS - TLS
AIR FRANCE;102,85;2;2017;ORY - TLS
AIR FRANCE;102,94;9;2017;MPL - ORY
AIR FRANCE;102,94;11;2017;MPL - ORY
AIR FRANCE;102,98;9;2016;NTE - TLS
AIR FRANCE;103,08;11;2016;CDG - LHR
AIR FRANCE;103,76;9;2016;ORY - TLS
AIR FRANCE;103,76;5;2017;MRS - ORY
AIR FRANCE;104,04;4;2016;MRS - ORY
AIR FRANCE;104,04;5;2016;MRS - ORY
AIR FRANCE;104,04;5;2016;MRS - ORY
AIR FRANCE;104,04;6;2016;MRS - ORY
AIR FRANCE;104,04;8;2016;MRS - ORY
AIR FRANCE;104,04;9;2016;MRS - ORY
AIR FRANCE;104,04;12;2016;MRS - ORY
AIR FRANCE;104,05;11;2017;ORY - TLS
AIR FRANCE;104,05;1;2018;ORY - TLS
AIR FRANCE;104,54;7;2016;BOD - LIL
LUFTHANSA GERMAN AIRLINES;104,92;9;2017;BCN - DUS
AIR FRANCE;105,1;3;2016;CDG - LIN
AIR FRANCE;105,4;8;2016;CDG - MRS
AIR FRANCE;105,42;5;2016;MPL - NTE
LUFTHANSA GERMAN AIRLINES;105,68;10;2016;BCN - DUS
AIR FRANCE;106,5;8;2017;ORY - PUF
AIR FRANCE;106,94;5;2017;MPL - ORY
AIR FRANCE;107,06;10;2017;MPL - NTE
AIR FRANCE;107,54;5;2017;NCE - ORY
AIR FRANCE;107,76;2;2018;MRS - ORY
AIR FRANCE;108;5;2016;CDG - LHR
AIR FRANCE;108;5;2016;CDG - LHR
AIR FRANCE;108;5;2016;CDG - LHR
AIR FRANCE;108;10;2016;CDG - LHR
AIR FRANCE;108,04;3;2016;MRS - ORY
AIR FRANCE;108,13;10;2016;CDG - TLS
LUFTHANSA GERMAN AIRLINES;108,41;3;2017;DUS - ZRH
AIR FRANCE;108,47;11;2017;BOD - NTE
AIR FRANCE;108,96;3;2016;CDG - LHR
AIR FRANCE;109,01;11;2016;BOD - LYS
AIR FRANCE;109,01;2;2017;BOD - LYS
AIR FRANCE;109,04;4;2016;MRS - ORY
AIR FRANCE;109,04;8;2016;MRS - ORY
AIR FRANCE;109,4;4;2016;CDG - MRS
AIR FRANCE;109,4;10;2017;BOD - MRS
AIR FRANCE;109,97;10;2016;AMS - LYS
AIR FRANCE;110,34;10;2017;NCE - ORY
AIR FRANCE;110,6;3;2016;MRS - ORY
AIR FRANCE;111,1;9;2016;BCN - CDG
AIR FRANCE;111,1;9;2016;BCN - CDG
AIR FRANCE;111,59;9;2016;BIQ - MRS
AIR FRANCE;111,89;6;2017;CDG - MAN
AIR FRANCE;112;12;2016;CDG - MAN
AIR FRANCE;112;12;2016;CDG - MAN
AIR FRANCE;112,02;11;2017;LYS - TLS
AIR FRANCE;112,02;11;2017;LYS - TLS
EMIRATES;112,19;9;2017;DXB - KWI
AIR FRANCE;112,23;4;2017;CDG - MPL
AIR FRANCE;112,76;7;2016;ORY - TLS
AIR FRANCE;112,94;9;2017;MPL - ORY
AIR FRANCE;112,94;9;2017;MPL - ORY
AIR FRANCE;113,57;3;2016;ORY - PTP
AIR FRANCE;113,7;8;2017;CDG - DUB
AIR FRANCE;113,76;3;2016;ORY - TLS
AIR FRANCE;113,76;2;2017;ORY - TLS
AIR FRANCE;113,93;10;2017;CDG - MAD
AIR FRANCE;114;2;2017;NTE - SXB
AIR FRANCE;114,04;5;2016;MRS - ORY
AIR FRANCE;114,04;5;2016;MRS - ORY
AIR FRANCE;114,04;5;2016;MRS - ORY
AIR FRANCE;114,04;6;2016;MRS - ORY
AIR FRANCE;114,04;9;2016;MRS - ORY
AIR FRANCE;114,04;10;2016;MRS - ORY
AIR FRANCE;114,04;11;2016;MRS - ORY
AIR FRANCE;114,05;1;2018;ORY - TLS
AIR FRANCE;114,05;1;2018;ORY - TLS
AIR FRANCE;114,1;7;2017;LDE - ORY
AIR FRANCE;114,16;2;2017;MPL - ORY
AIR FRANCE;114,18;6;2016;CDG - CPH
AIR FRANCE;114,23;11;2017;ALG - MPL
AIR FRANCE;114,27;9;2016;MRS - NTE
AIR FRANCE;114,82;1;2018;CDG - VCE
AIR FRANCE;114,86;12;2017;CDG - TXL
EMIRATES;115,81;1;2018;DXB - KWI
AIR FRANCE;116,05;11;2017;CDG - HAM
LUFTHANSA GERMAN AIRLINES;116,08;3;2017;DUS - MRS
AIR FRANCE;116,31;1;2018;BOD - ORY
AIR FRANCE;116,64;9;2016;LIL - NCE
AIR FRANCE;116,76;12;2016;ORY - TLS
AIR FRANCE;116,87;5;2016;CDG - PRG
AIR FRANCE;117,29;3;2016;BOD - ORY
AIR FRANCE;118,38;10;2017;BES - LYS
AIR FRANCE;118,4;4;2017;BOD - MRS
AIR FRANCE;118,66;11;2017;ETZ - LYS
AIR FRANCE;118,83;1;2017;BOD - MRS
AIR FRANCE;118,97;10;2016;LYS - NCE
AIR FRANCE;119,04;12;2016;MRS - ORY
AIR FRANCE;119,05;9;2017;ORY - TLS
AIR FRANCE;119,05;11;2017;ORY - TLS
AIR FRANCE;119,05;1;2018;ORY - TLS
AIR FRANCE;119,05;2;2018;ORY - TLS
AIR FRANCE;119,16;2;2017;MPL - ORY
AIR FRANCE;119,19;9;2017;BHX - CDG
AIR FRANCE;119,19;9;2017;BHX - CDG
AIR FRANCE;119,27;7;2016;MRS - NTE
AIR FRANCE;119,34;5;2017;CDG - TLS
AIR FRANCE;119,41;1;2017;MPL - NTE
AIR FRANCE;119,45;5;2016;AGF - ORY
AIR FRANCE;119,69;1;2018;LYS - NTE
AIR FRANCE;119,89;3;2016;NCE - ORY
AIR FRANCE;119,93;12;2017;CDG - CPH
AIR FRANCE;119,96;10;2017;CDG - VCE
AIR FRANCE;120;2;2017;ORY - TLS
AIR FRANCE;120;11;2017;CDG - GYD
AIR FRANCE;120,05;5;2017;CDG - MRS
AIR FRANCE;120,4;9;2016;CDG - MRS
AIR FRANCE;120,47;11;2016;LYS - NTE
AIR FRANCE;120,49;5;2016;CDG - VCE
AIR FRANCE;120,63;8;2016;LIL - PUF
AIR FRANCE;120,89;11;2017;CDG - DUB
AIR FRANCE;121,01;10;2016;BOD - LYS
AIR FRANCE;121,83;3;2017;LYS - NTE
AIR FRANCE;121,83;3;2017;LYS - NTE
AIR FRANCE;121,83;3;2017;LYS - NTE
AIR FRANCE;122,75;10;2016;FDF - PTP
AIR FRANCE;122,88;1;2017;CDG - WAW
AIR FRANCE;122,94;12;2017;MPL - ORY
AIR FRANCE;122,94;1;2018;MPL - ORY
AIR FRANCE;123,16;10;2016;CDG - WAW
AIR FRANCE;123,61;3;2016;NCE - RNS
AIR FRANCE;123,61;4;2016;NCE - RNS
AIR FRANCE;123,61;4;2016;NCE - RNS
AIR FRANCE;123,61;4;2016;NCE - RNS
AIR FRANCE;123,61;4;2016;NCE - RNS
AIR FRANCE;123,61;4;2016;NCE - RNS
AIR FRANCE;123,76;10;2017;MRS - ORY
AIR FRANCE;123,76;12;2017;MRS - ORY
AIR FRANCE;123,98;5;2017;BOD - ORY
AIR FRANCE;124,05;12;2017;ORY - TLS
AIR FRANCE;124,05;1;2018;ORY - TLS
AIR FRANCE;124,07;1;2018;CDG - PRG
LUFTHANSA GERMAN AIRLINES;124,1;11;2016;CDG - TXL
AIR FRANCE;124,16;11;2016;MPL - ORY
AIR FRANCE;124,16;11;2016;MPL - ORY
AIR FRANCE;124,19;11;2017;NCE - RNS
AIR FRANCE;124,69;11;2017;GVA - STR
AIR FRANCE;125,01;9;2016;BOD - LYS
AIR FRANCE;125,01;9;2016;BOD - LYS
AIR FRANCE;125,01;9;2016;BOD - LYS
AIR FRANCE;125,01;9;2016;BOD - LYS
AIR FRANCE;125,01;9;2016;BOD - LYS
AIR FRANCE;125,01;9;2016;BOD - LYS
AIR FRANCE;125,03;9;2017;CDG - LHR
AIR FRANCE;125,05;3;2017;BOD - NCE
AIR FRANCE;125,41;10;2016;CDG - MAD
AIR FRANCE;125,6;3;2016;MRS - ORY
AIR FRANCE;125,65;10;2016;BOD - CDG
AIR FRANCE;125,65;10;2016;BOD - CDG
AIR FRANCE;125,65;1;2017;BOD - CDG
AIR FRANCE;125,65;2;2017;BOD - CDG
LUFTHANSA GERMAN AIRLINES;125,79;1;2017;CDG - DUS
AIR FRANCE;126;4;2016;FDF - PTP
AIR FRANCE;126;7;2017;CFR - LYS
AIR FRANCE;126,25;12;2017;HAJ - TLS
AIR FRANCE;126,25;1;2018;HAJ - TLS
AIR FRANCE;126,76;7;2016;ORY - TLS
AIR FRANCE;126,76;10;2016;ORY - TLS
AIR FRANCE;126,76;10;2016;ORY - TLS
AIR FRANCE;126,82;10;2017;BHX - CDG
AIR FRANCE;126,82;10;2017;BHX - CDG
AIR FRANCE;126,94;5;2017;MPL - ORY
AIR FRANCE;127,17;8;2016;CDG - CPH
AIR FRANCE;127,46;8;2016;CDG - LHR
AIR FRANCE;127,46;8;2016;CDG - LHR
AIR FRANCE;127,76;9;2016;BSL - CDG
AIR FRANCE;127,76;9;2016;BSL - CDG
AIR FRANCE;127,76;5;2017;MRS - ORY
AIR FRANCE;127,76;10;2017;MRS - ORY
AIR FRANCE;127,76;11;2017;MRS - ORY
AIR FRANCE;127,76;12;2017;MRS - ORY
AIR FRANCE;128;2;2018;CDG - CPH
AIR FRANCE;128,02;3;2017;CDG - TLS
AIR FRANCE;128,02;3;2017;CDG - TLS
AIR FRANCE;128,04;10;2016;MRS - ORY
AIR FRANCE;128,04;10;2016;MRS - ORY
AIR FRANCE;128,13;2;2017;CDG - TLS
LUFTHANSA GERMAN AIRLINES;128,73;10;2017;FCO - MUC
AIR FRANCE;128,76;9;2016;ORY - TLS
AIR FRANCE;128,86;2;2018;CDG - VCE
AIR FRANCE;128,94;11;2017;BOD - LYS
AIR FRANCE;128,96;7;2017;CDG - VCE
AIR FRANCE;128,97;12;2016;LYS - NCE
AIR FRANCE;129,04;4;2016;MRS - ORY
AIR FRANCE;129,04;5;2016;MRS - ORY
AIR FRANCE;129,04;7;2016;MRS - ORY
AIR FRANCE;129,04;9;2016;MRS - ORY
AIR FRANCE;129,04;9;2016;MRS - ORY
AIR FRANCE;129,04;9;2016;MRS - ORY
AIR FRANCE;129,04;10;2016;MRS - ORY
AIR FRANCE;129,04;1;2017;MRS - ORY
AIR FRANCE;129,05;1;2018;CDG - MRS
AIR FRANCE;129,05;1;2018;ORY - TLS
AIR FRANCE;129,05;1;2018;ORY - TLS
AIR FRANCE;129,05;2;2018;ORY - TLS
AIR FRANCE;129,1;8;2017;LDE - ORY
AIR FRANCE;129,1;10;2017;ORY - TLN
AIR FRANCE;129,1;2;2018;ORY - TLN
AIR FRANCE;129,29;5;2016;BOD - ORY
AIR FRANCE;129,34;4;2016;CDG - LHR
AIR FRANCE;129,41;8;2017;AGF - ORY
AIR FRANCE;129,51;3;2017;LYS - NTE
AIR FRANCE;129,57;2;2017;SXB - TLS
AIR FRANCE;129,62;5;2017;MLH - ORY
AIR FRANCE;129,62;11;2017;CDG - NCE
AIR FRANCE;129,83;9;2016;CDG - LIN
AIR FRANCE;129,86;3;2017;CDG - MUC
AIR FRANCE;129,96;9;2017;CDG - MAD
AIR FRANCE;130,16;2;2017;MPL - ORY
AIR FRANCE;130,17;8;2017;LIL - SXB
AIR FRANCE;130,2;12;2016;CDG - GVA
AIR FRANCE;130,33;4;2016;CDG - LIN
AIR FRANCE;130,47;7;2016;BOD - LIL
AIR FRANCE;130,65;2;2017;BOD - CDG
AIR FRANCE;130,97;1;2018;CDG - MAD
AIR FRANCE;131,08;7;2017;CDG - MAN
AIR FRANCE;131,18;6;2016;CDG - CPH
AIR FRANCE;131,18;6;2016;CDG - CPH
AIR FRANCE;131,18;6;2016;CDG - CPH
AIR FRANCE;131,45;8;2016;LYS - NTE
AIR FRANCE;131,45;8;2016;LYS - NTE
AIR FRANCE;131,48;3;2016;LYS - TLS
AIR FRANCE;131,49;6;2016;CDG - VCE
AIR FRANCE;131,91;2;2018;CDG - CPH
AIR FRANCE;133;11;2016;FDF - PTP
AIR FRANCE;133,27;10;2017;CDG - WAW
AIR FRANCE;133,4;7;2017;CDG - PRG
AIR FRANCE;133,96;1;2018;CDG - MUC
AIR FRANCE;133,96;1;2018;CDG - MUC
AIR FRANCE;133,96;1;2018;CDG - MUC
AIR FRANCE;133,96;1;2018;CDG - MUC
AIR FRANCE;134;4;2016;BHX - CDG
AIR FRANCE;134;4;2016;BHX - CDG
AIR FRANCE;134;5;2016;BHX - CDG
AIR FRANCE;134;5;2016;BHX - CDG
AIR FRANCE;134;11;2016;CDG - DUB
AIR FRANCE;134,01;6;2016;BOD - LYS
AIR FRANCE;134,01;9;2016;BOD - LYS
AIR FRANCE;134,26;3;2017;BOD - ORY
AIR FRANCE;134,5;8;2016;RNS - TLS
AIR FRANCE;134,51;3;2017;LYS - NTE
LUFTHANSA GERMAN AIRLINES;134,65;12;2017;CDG - MUC
AIR FRANCE;134,77;12;2017;CDG - MAN
EMIRATES;135,48;1;2018;DMM - DXB
AIR FRANCE;135,65;11;2016;BOD - CDG
AIR FRANCE;135,78;3;2017;MRS - NTE
AIR FRANCE;135,94;9;2017;MPL - ORY
